first_name,last_name,email,mobile_number,address,location,pincode,gender,designation_id,roles
radhe,babu,radhee@gmail.com,9811105762,girinagr,banglore,560085,Male,1,3
shyam,babu,shyame@gmail.com,9811105762,girinagr,Delhi,560085,Male,1,3
hare,babu,haree@gmail.com,9811105762,girinagr,Patna,560085,Male,1,3
naam,babu,haree@gmail.com,9811105762,girinagr,Manglore,560085,Male,1,3
Channa,babu,Channae@gmail.com,9811105762,girinagr,Bihar,560085,Male,1,3
ranjeet,babu,ranjeete@gmail.com,9811105762,girinagr,Bihar,560085,Male,1,3
Deepak,babu,Deepake@gmail.com,9811105762,girinagr,Krishanapur,560085,Male,1,3
Raju,babu,Rajue@gmail.com,9811105762,girinagr,banglore,560085,Male,1,3
Pankaj,babu,Pankaje@gmail.com,9811105762,girinagr,Delhi,560085,Male,1,3
Amar,babu,Amare@gmail.com,9811105762,girinagr,Chennai,560085,Male,1,3
Suresh,babu,Sureshe@gmail.com,9811105762,girinagr,Mumbai,560085,Male,1,3
Halkat,babu,Halkate@gmail.com,9811105762,girinagr,banglore,560085,Male,1,3
Gopal,babu,Gopale@gmail.com,9811105762,girinagr,banglore,560085,Male,1,3
